State;File;Reviewer;Report;Line
Warning;Eth.arxml;a0393606;Rule A205: Reference 'Eth/EthGeneral/EthOsCounterRef' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthPublishedInformation/EthDeviceVariant' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A206: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthPortConfig/EthMacConfig/EthMacModeFlags' does not contain 'ORIGIN' element.;
Warning;Eth.arxml;a0393606;Rule A206: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthPortConfig/EthMacConfig/EthMacConnectionType' does not contain 'ORIGIN' element.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCtrlConfigIngress/EthCtrlConfigIngressFifo/EthCtrlConfigIngressFifoBufTotal'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthConfigSet/EthCtrlConfig/EthPortConfig/EthMacConfig/EthMacModeFlags'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCptsConfig/EthCptsInputFreq'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCacheFlushOps'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthConfigSet/EthCtrlConfig/EthInvalidateOps'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthGeneral/EthCtrlOffloading/EthCtrlEnableOffloadChecksumICMP'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthGeneral/EthCtrlOffloading/EthCtrlEnableOffloadChecksumIPv4'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthGeneral/EthCtrlOffloading/EthCtrlEnableOffloadChecksumTCP'.;
Warning;Eth.arxml;a0393606;Rule A207: Missing default node of parameter 'Eth/EthGeneral/EthCtrlOffloading/EthCtrlEnableOffloadChecksumUDP'.;
Warning;Eth.arxml;a0393606;Rule A208: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthPortConfig/EthMacConfig/EthMacModeFlags' does not contain 'DESC' element.;
Warning;Eth.arxml;a0393606;Rule A208: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthPortConfig/EthMacConfig/EthMacConnectionType' does not contain 'DESC' element.;
Warning;Eth.arxml;a0393606;Rule A208: Container 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig' does not contain 'DESC' element.;
Info;Eth.arxml;a0393606;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Eth.arxml;a0393606;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Eth found.;
Info;Eth.arxml;a0393606;Rule A211: All DestinationRefs are valid.;
Info;Eth.arxml;a0393606;Rule A212: File does not contain ModuleRefs.;
Info;Eth.arxml;a0393606;Rule A213: File does not contain DefinitionRefs.;
Warning;Eth.arxml;a0393606;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Eth.arxml;a0393606;Rule A220: UUID 'ECUC:f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'EthMdioBusFreq';
Warning;Eth.arxml;a0393606;Rule A220: UUID 'ECUC:f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'EthMdioClockFreq';
Warning;Eth.arxml;a0393606;Rule A220: UUID 'ECUC:b1cea778-9884-402b-9535-a819da9e6b7e' is not unique for 'EthCptsConfig';
Warning;Eth.arxml;a0393606;Rule A220: UUID 'ECUC:239fd12d-58a4-4588-96a5-b8c70f4cebe3' is not unique for 'EthBufLenByte';
Warning;Eth.arxml;a0393606;Rule A220: UUID 'ECUC:f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'EthDefaultOSCounterId';
Warning;Eth.arxml;a0393606;Rule A220: UUID 'ECUC:f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'EthTimeoutDuration';
Info;Eth.arxml;a0393606;Rule A221: ShortNames are valid and unique.;
Info;Eth.arxml;a0393606;Rule A222: All post-build settings are valid.;
Info;Eth.arxml;a0393606;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
