State;File;Reviewer;Report;Line
Warning;Fls.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'FLS' found.;
Warning;Fls.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'FLS' found.;
Info;Fls.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Fls.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Fls.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Fls.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Warning;Fls.arxml;a0393606;Rule A205: Container 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Fls.arxml;a0393606;Rule A205: Container 'Fls/FlsConfigSet/FlsSectorList/FlsSector' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Fls.arxml;a0393606;Rule A205: Reference 'Fls/FlsGeneral/FlsOsCounterRef' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Fls.arxml;a0393606;Rule A205: Parameter 'Fls/FlsPublishedInformation/FlsDeviceVariant' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Fls.arxml;a0393606;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsSize'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsSize'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/Fls4ByteAddressEnableCmd'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/Fls4ByteAddressEnableCmd'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/Fls4ByteAddressDisableCmd'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/Fls4ByteAddressDisableCmd'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsDtrSupport'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsDtrSupport'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsDeviceBusyType'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsDeviceBusyType'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsDeviceResetType'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsDeviceResetType'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsNumberOfSuppEraseTypes'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsNumberOfSuppEraseTypes'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsCmdExecType'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsCmdExecType'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsByteOrder'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsByteOrder'.;
Warning;Fls.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Fls/FlsConfigSet/FlsFlashConfigList/FlsFlashConfiguration/FlsChipEraseTimeout'.;
